iter	Accuracy	CrossEntropy
0	0.7983809524	0.6880510011
1	0.798968254	0.6830147975
2	0.7987936508	0.6781942202
3	0.7988571429	0.6733734062
4	0.7987619048	0.668788421
5	0.7984603175	0.664256398
6	0.7984603175	0.6599426557
7	0.7984603175	0.6556777421
8	0.7984761905	0.6514638836
9	0.7984285714	0.6473141761
10	0.7983968254	0.6434199915
11	0.7984126984	0.6396288527
12	0.7984126984	0.6358674679
13	0.7984126984	0.6320779391
14	0.7984126984	0.6282973474
15	0.7984126984	0.6249900811
16	0.7983968254	0.6214744139
17	0.7983809524	0.6180469638
18	0.7983968254	0.6146904896
19	0.7983968254	0.6113797983
20	0.7984444444	0.6081642556
21	0.7984285714	0.6049509983
22	0.7984444444	0.6018308175
23	0.7984444444	0.5988400551
24	0.7984285714	0.5958967458
25	0.7984285714	0.5930424329
26	0.7984126984	0.5902178696
27	0.7984126984	0.5874836942
28	0.7984126984	0.5847834514
29	0.7983809524	0.5822337813
